facility_id,facility_name,address,citytown,state,zip_code,countyparish,telephone_number,measure_id,measure_name,compared_to_national,denominator,score,lower_estimate,higher_estimate,footnote,start_date,end_date
330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,(914) 378-7000,MORT_30_PN,Death rate for pneumonia patients,No Different Than the National Rate,65,20.9,15.3,27.5,,7/1/19,6/30/22
330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,(914) 378-7000,MORT_30_STK,Death rate for stroke patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,7/1/19,6/30/22
330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,(914) 378-7000,PSI_03,Pressure ulcer rate,No Different Than the National Rate,933,1.39,0,3.09,,7/1/19,6/30/21
330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,(914) 378-7000,PSI_04,Death rate among surgical inpatients with serious treatable complications,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,7/1/19,6/30/21
330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,(914) 378-7000,PSI_06,Iatrogenic pneumothorax rate,No Different Than the National Rate,1078,0.22,0.06,0.37,,7/1/19,6/30/21
330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,(914) 378-7000,PSI_08,In-hospital fall with hip fracture rate,No Different Than the National Rate,1083,0.07,0,0.23,,7/1/19,6/30/21
330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,(914) 378-7000,PSI_09,Postoperative hemorrhage or hematoma rate,No Different Than the National Rate,125,2.32,0.84,3.79,,7/1/19,6/30/21
330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,(914) 378-7000,PSI_10,Postoperative acute kidney injury requiring dialysis rate,No Different Than the National Rate,26,0.91,0,2.1,,7/1/19,6/30/21
330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,(914) 378-7000,PSI_11,Postoperative respiratory failure rate,No Different Than the National Rate,27,5.92,0,15.95,,7/1/19,6/30/21
330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,(914) 378-7000,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,No Different Than the National Rate,140,3.13,0.63,5.63,,7/1/19,6/30/21
330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,(914) 378-7000,PSI_13,Postoperative sepsis rate,No Different Than the National Rate,25,4,0.53,7.47,,7/1/19,6/30/21
330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,(914) 378-7000,PSI_14,Postoperative wound dehiscence rate,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,7/1/19,6/30/21
330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,(914) 378-7000,PSI_15,Abdominopelvic accidental puncture or laceration rate,No Different Than the National Rate,115,1.43,0.11,2.75,,7/1/19,6/30/21
330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,(914) 378-7000,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,1.07,0.63,1.5,,7/1/19,6/30/21
330008,WYOMING COUNTY COMMUNITY HOSPITAL,400 NORTH MAIN STREET,WARSAW,NY,14569,WYOMING,(585) 786-2233,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,4/1/19,3/31/22
330008,WYOMING COUNTY COMMUNITY HOSPITAL,400 NORTH MAIN STREET,WARSAW,NY,14569,WYOMING,(585) 786-2233,MORT_30_AMI,Death rate for heart attack patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,7/1/19,6/30/22
330008,WYOMING COUNTY COMMUNITY HOSPITAL,400 NORTH MAIN STREET,WARSAW,NY,14569,WYOMING,(585) 786-2233,MORT_30_CABG,Death rate for CABG surgery patients,Not Available,Not Available,Not Available,Not Available,Not Available,5,7/1/19,6/30/22
330008,WYOMING COUNTY COMMUNITY HOSPITAL,400 NORTH MAIN STREET,WARSAW,NY,14569,WYOMING,(585) 786-2233,MORT_30_COPD,Death rate for COPD patients,No Different Than the National Rate,26,9.9,6.1,16.1,,7/1/19,6/30/22
330008,WYOMING COUNTY COMMUNITY HOSPITAL,400 NORTH MAIN STREET,WARSAW,NY,14569,WYOMING,(585) 786-2233,MORT_30_HF,Death rate for heart failure patients,No Different Than the National Rate,47,13.9,9.4,20.2,,7/1/19,6/30/22
330008,WYOMING COUNTY COMMUNITY HOSPITAL,400 NORTH MAIN STREET,WARSAW,NY,14569,WYOMING,(585) 786-2233,MORT_30_PN,Death rate for pneumonia patients,No Different Than the National Rate,86,18.2,13.4,24.3,,7/1/19,6/30/22
330008,WYOMING COUNTY COMMUNITY HOSPITAL,400 NORTH MAIN STREET,WARSAW,NY,14569,WYOMING,(585) 786-2233,MORT_30_STK,Death rate for stroke patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,7/1/19,6/30/22
330008,WYOMING COUNTY COMMUNITY HOSPITAL,400 NORTH MAIN STREET,WARSAW,NY,14569,WYOMING,(585) 786-2233,PSI_03,Pressure ulcer rate,No Different Than the National Rate,365,0.38,0,3,,7/1/19,6/30/21
330008,WYOMING COUNTY COMMUNITY HOSPITAL,400 NORTH MAIN STREET,WARSAW,NY,14569,WYOMING,(585) 786-2233,PSI_04,Death rate among surgical inpatients with serious treatable complications,Not Available,Not Available,Not Available,Not Available,Not Available,1,7/1/19,6/30/21
330008,WYOMING COUNTY COMMUNITY HOSPITAL,400 NORTH MAIN STREET,WARSAW,NY,14569,WYOMING,(585) 786-2233,PSI_06,Iatrogenic pneumothorax rate,No Different Than the National Rate,465,0.18,0.02,0.34,,7/1/19,6/30/21
330008,WYOMING COUNTY COMMUNITY HOSPITAL,400 NORTH MAIN STREET,WARSAW,NY,14569,WYOMING,(585) 786-2233,PSI_08,In-hospital fall with hip fracture rate,No Different Than the National Rate,473,0.07,0,0.24,,7/1/19,6/30/21
330008,WYOMING COUNTY COMMUNITY HOSPITAL,400 NORTH MAIN STREET,WARSAW,NY,14569,WYOMING,(585) 786-2233,PSI_09,Postoperative hemorrhage or hematoma rate,No Different Than the National Rate,56,2.38,0.89,3.87,,7/1/19,6/30/21
330008,WYOMING COUNTY COMMUNITY HOSPITAL,400 NORTH MAIN STREET,WARSAW,NY,14569,WYOMING,(585) 786-2233,PSI_10,Postoperative acute kidney injury requiring dialysis rate,No Different Than the National Rate,34,0.91,0,2.11,,7/1/19,6/30/21
330008,WYOMING COUNTY COMMUNITY HOSPITAL,400 NORTH MAIN STREET,WARSAW,NY,14569,WYOMING,(585) 786-2233,PSI_11,Postoperative respiratory failure rate,No Different Than the National Rate,32,6.16,0,16.4,,7/1/19,6/30/21
330008,WYOMING COUNTY COMMUNITY HOSPITAL,400 NORTH MAIN STREET,WARSAW,NY,14569,WYOMING,(585) 786-2233,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,No Different Than the National Rate,58,4.33,1.76,6.91,,7/1/19,6/30/21
330008,WYOMING COUNTY COMMUNITY HOSPITAL,400 NORTH MAIN STREET,WARSAW,NY,14569,WYOMING,(585) 786-2233,PSI_13,Postoperative sepsis rate,No Different Than the National Rate,31,4.03,0.55,7.52,,7/1/19,6/30/21
330008,WYOMING COUNTY COMMUNITY HOSPITAL,400 NORTH MAIN STREET,WARSAW,NY,14569,WYOMING,(585) 786-2233,PSI_14,Postoperative wound dehiscence rate,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,7/1/19,6/30/21
330008,WYOMING COUNTY COMMUNITY HOSPITAL,400 NORTH MAIN STREET,WARSAW,NY,14569,WYOMING,(585) 786-2233,PSI_15,Abdominopelvic accidental puncture or laceration rate,No Different Than the National Rate,67,1.03,0,2.36,,7/1/19,6/30/21
330008,WYOMING COUNTY COMMUNITY HOSPITAL,400 NORTH MAIN STREET,WARSAW,NY,14569,WYOMING,(585) 786-2233,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,1.03,0.57,1.49,,7/1/19,6/30/21
330009,BRONX HEALTH SYSTEM,1276 FULTON AVENUE,BRONX,NY,10456,BRONX,(212) 588-7000,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,4/1/19,3/31/22
330009,BRONX HEALTH SYSTEM,1276 FULTON AVENUE,BRONX,NY,10456,BRONX,(212) 588-7000,MORT_30_AMI,Death rate for heart attack patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,7/1/19,6/30/22
330009,BRONX HEALTH SYSTEM,1276 FULTON AVENUE,BRONX,NY,10456,BRONX,(212) 588-7000,MORT_30_CABG,Death rate for CABG surgery patients,Not Available,Not Available,Not Available,Not Available,Not Available,5,7/1/19,6/30/22
330009,BRONX HEALTH SYSTEM,1276 FULTON AVENUE,BRONX,NY,10456,BRONX,(212) 588-7000,MORT_30_COPD,Death rate for COPD patients,No Different Than the National Rate,37,9,5.8,13.7,,7/1/19,6/30/22
330009,BRONX HEALTH SYSTEM,1276 FULTON AVENUE,BRONX,NY,10456,BRONX,(212) 588-7000,MORT_30_HF,Death rate for heart failure patients,No Different Than the National Rate,64,10.2,6.8,15.1,,7/1/19,6/30/22
330009,BRONX HEALTH SYSTEM,1276 FULTON AVENUE,BRONX,NY,10456,BRONX,(212) 588-7000,MORT_30_PN,Death rate for pneumonia patients,No Different Than the National Rate,113,14.9,11.1,19.8,,7/1/19,6/30/22
330009,BRONX HEALTH SYSTEM,1276 FULTON AVENUE,BRONX,NY,10456,BRONX,(212) 588-7000,MORT_30_STK,Death rate for stroke patients,No Different Than the National Rate,40,13.6,8.9,20.1,,7/1/19,6/30/22
330009,BRONX HEALTH SYSTEM,1276 FULTON AVENUE,BRONX,NY,10456,BRONX,(212) 588-7000,PSI_03,Pressure ulcer rate,Worse Than the National Rate,1841,4.4,3.39,5.41,,7/1/19,6/30/21
330009,BRONX HEALTH SYSTEM,1276 FULTON AVENUE,BRONX,NY,10456,BRONX,(212) 588-7000,PSI_04,Death rate among surgical inpatients with serious treatable complications,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,7/1/19,6/30/21
330009,BRONX HEALTH SYSTEM,1276 FULTON AVENUE,BRONX,NY,10456,BRONX,(212) 588-7000,PSI_06,Iatrogenic pneumothorax rate,No Different Than the National Rate,2154,0.17,0.02,0.33,,7/1/19,6/30/21
330009,BRONX HEALTH SYSTEM,1276 FULTON AVENUE,BRONX,NY,10456,BRONX,(212) 588-7000,PSI_08,In-hospital fall with hip fracture rate,No Different Than the National Rate,2336,0.06,0,0.21,,7/1/19,6/30/21
330009,BRONX HEALTH SYSTEM,1276 FULTON AVENUE,BRONX,NY,10456,BRONX,(212) 588-7000,PSI_09,Postoperative hemorrhage or hematoma rate,No Different Than the National Rate,221,2.48,1.03,3.92,,7/1/19,6/30/21
330009,BRONX HEALTH SYSTEM,1276 FULTON AVENUE,BRONX,NY,10456,BRONX,(212) 588-7000,PSI_10,Postoperative acute kidney injury requiring dialysis rate,No Different Than the National Rate,53,0.87,0,2.05,,7/1/19,6/30/21
330009,BRONX HEALTH SYSTEM,1276 FULTON AVENUE,BRONX,NY,10456,BRONX,(212) 588-7000,PSI_11,Postoperative respiratory failure rate,No Different Than the National Rate,62,4.78,0,13.79,,7/1/19,6/30/21
330009,BRONX HEALTH SYSTEM,1276 FULTON AVENUE,BRONX,NY,10456,BRONX,(212) 588-7000,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,No Different Than the National Rate,257,3.37,0.95,5.79,,7/1/19,6/30/21
330009,BRONX HEALTH SYSTEM,1276 FULTON AVENUE,BRONX,NY,10456,BRONX,(212) 588-7000,PSI_13,Postoperative sepsis rate,No Different Than the National Rate,55,3.88,0.46,7.3,,7/1/19,6/30/21
330009,BRONX HEALTH SYSTEM,1276 FULTON AVENUE,BRONX,NY,10456,BRONX,(212) 588-7000,PSI_14,Postoperative wound dehiscence rate,No Different Than the National Rate,96,0.78,0,1.75,,7/1/19,6/30/21
330009,BRONX HEALTH SYSTEM,1276 FULTON AVENUE,BRONX,NY,10456,BRONX,(212) 588-7000,PSI_15,Abdominopelvic accidental puncture or laceration rate,No Different Than the National Rate,359,0.95,0,2.23,,7/1/19,6/30/21
330009,BRONX HEALTH SYSTEM,1276 FULTON AVENUE,BRONX,NY,10456,BRONX,(212) 588-7000,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,Worse Than the National Value,Not Applicable,1.57,1.19,1.95,,7/1/19,6/30/21
330011,OUR LADY OF LOURDES MEMORIAL HOSPITAL,169 RIVERSIDE DRIVE,BINGHAMTON,NY,13905,BROOME,(607) 798-5111,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,No Different Than the National Rate,217,2.4,1.4,3.9,,4/1/19,3/31/22
330011,OUR LADY OF LOURDES MEMORIAL HOSPITAL,169 RIVERSIDE DRIVE,BINGHAMTON,NY,13905,BROOME,(607) 798-5111,MORT_30_AMI,Death rate for heart attack patients,No Different Than the National Rate,60,12,9,15.8,,7/1/19,6/30/22
330011,OUR LADY OF LOURDES MEMORIAL HOSPITAL,169 RIVERSIDE DRIVE,BINGHAMTON,NY,13905,BROOME,(607) 798-5111,MORT_30_CABG,Death rate for CABG surgery patients,Not Available,Not Available,Not Available,Not Available,Not Available,5,7/1/19,6/30/22
330011,OUR LADY OF LOURDES MEMORIAL HOSPITAL,169 RIVERSIDE DRIVE,BINGHAMTON,NY,13905,BROOME,(607) 798-5111,MORT_30_COPD,Death rate for COPD patients,No Different Than the National Rate,83,9.9,6.6,14.6,,7/1/19,6/30/22
330011,OUR LADY OF LOURDES MEMORIAL HOSPITAL,169 RIVERSIDE DRIVE,BINGHAMTON,NY,13905,BROOME,(607) 798-5111,MORT_30_HF,Death rate for heart failure patients,No Different Than the National Rate,282,12.9,10.1,16.4,,7/1/19,6/30/22
330011,OUR LADY OF LOURDES MEMORIAL HOSPITAL,169 RIVERSIDE DRIVE,BINGHAMTON,NY,13905,BROOME,(607) 798-5111,MORT_30_PN,Death rate for pneumonia patients,No Different Than the National Rate,347,18.7,15.5,22.2,,7/1/19,6/30/22
330011,OUR LADY OF LOURDES MEMORIAL HOSPITAL,169 RIVERSIDE DRIVE,BINGHAMTON,NY,13905,BROOME,(607) 798-5111,MORT_30_STK,Death rate for stroke patients,No Different Than the National Rate,113,14.2,10.5,18.8,,7/1/19,6/30/22
330011,OUR LADY OF LOURDES MEMORIAL HOSPITAL,169 RIVERSIDE DRIVE,BINGHAMTON,NY,13905,BROOME,(607) 798-5111,PSI_03,Pressure ulcer rate,Worse Than the National Rate,2718,2.56,1.47,3.65,,7/1/19,6/30/21
330011,OUR LADY OF LOURDES MEMORIAL HOSPITAL,169 RIVERSIDE DRIVE,BINGHAMTON,NY,13905,BROOME,(607) 798-5111,PSI_04,Death rate among surgical inpatients with serious treatable complications,No Different Than the National Rate,44,153.06,104.51,201.61,,7/1/19,6/30/21
330011,OUR LADY OF LOURDES MEMORIAL HOSPITAL,169 RIVERSIDE DRIVE,BINGHAMTON,NY,13905,BROOME,(607) 798-5111,PSI_06,Iatrogenic pneumothorax rate,No Different Than the National Rate,3678,0.17,0.01,0.32,,7/1/19,6/30/21
330011,OUR LADY OF LOURDES MEMORIAL HOSPITAL,169 RIVERSIDE DRIVE,BINGHAMTON,NY,13905,BROOME,(607) 798-5111,PSI_08,In-hospital fall with hip fracture rate,No Different Than the National Rate,3799,0.05,0,0.2,,7/1/19,6/30/21
330011,OUR LADY OF LOURDES MEMORIAL HOSPITAL,169 RIVERSIDE DRIVE,BINGHAMTON,NY,13905,BROOME,(607) 798-5111,PSI_09,Postoperative hemorrhage or hematoma rate,No Different Than the National Rate,827,2.29,0.89,3.68,,7/1/19,6/30/21
330011,OUR LADY OF LOURDES MEMORIAL HOSPITAL,169 RIVERSIDE DRIVE,BINGHAMTON,NY,13905,BROOME,(607) 798-5111,PSI_10,Postoperative acute kidney injury requiring dialysis rate,No Different Than the National Rate,440,0.84,0,1.99,,7/1/19,6/30/21
330011,OUR LADY OF LOURDES MEMORIAL HOSPITAL,169 RIVERSIDE DRIVE,BINGHAMTON,NY,13905,BROOME,(607) 798-5111,PSI_11,Postoperative respiratory failure rate,No Different Than the National Rate,446,7.09,0,14.21,,7/1/19,6/30/21
330011,OUR LADY OF LOURDES MEMORIAL HOSPITAL,169 RIVERSIDE DRIVE,BINGHAMTON,NY,13905,BROOME,(607) 798-5111,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,No Different Than the National Rate,870,4.2,2.02,6.38,,7/1/19,6/30/21
330011,OUR LADY OF LOURDES MEMORIAL HOSPITAL,169 RIVERSIDE DRIVE,BINGHAMTON,NY,13905,BROOME,(607) 798-5111,PSI_13,Postoperative sepsis rate,No Different Than the National Rate,425,3.38,0.19,6.56,,7/1/19,6/30/21
330011,OUR LADY OF LOURDES MEMORIAL HOSPITAL,169 RIVERSIDE DRIVE,BINGHAMTON,NY,13905,BROOME,(607) 798-5111,PSI_14,Postoperative wound dehiscence rate,No Different Than the National Rate,288,1.02,0.08,1.96,,7/1/19,6/30/21
330011,OUR LADY OF LOURDES MEMORIAL HOSPITAL,169 RIVERSIDE DRIVE,BINGHAMTON,NY,13905,BROOME,(607) 798-5111,PSI_15,Abdominopelvic accidental puncture or laceration rate,No Different Than the National Rate,623,0.82,0,2.01,,7/1/19,6/30/21
330011,OUR LADY OF LOURDES MEMORIAL HOSPITAL,169 RIVERSIDE DRIVE,BINGHAMTON,NY,13905,BROOME,(607) 798-5111,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,1.29,0.93,1.65,,7/1/19,6/30/21
330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,No Different Than the National Rate,154,2.7,1.6,4.5,,4/1/19,3/31/22
330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,MORT_30_AMI,Death rate for heart attack patients,No Different Than the National Rate,257,13.2,10.4,16.9,,7/1/19,6/30/22
330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,MORT_30_CABG,Death rate for CABG surgery patients,No Different Than the National Rate,113,2.8,1.5,5.4,,7/1/19,6/30/22
330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,MORT_30_COPD,Death rate for COPD patients,No Different Than the National Rate,116,10.4,7.3,14.3,,7/1/19,6/30/22
330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,MORT_30_HF,Death rate for heart failure patients,No Different Than the National Rate,394,10.4,8.3,13.1,,7/1/19,6/30/22
330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,MORT_30_PN,Death rate for pneumonia patients,No Different Than the National Rate,272,19.1,16,22.8,,7/1/19,6/30/22
330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,MORT_30_STK,Death rate for stroke patients,Worse Than the National Rate,497,16.2,14.2,18.5,,7/1/19,6/30/22
330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,PSI_03,Pressure ulcer rate,No Different Than the National Rate,10068,0.84,0.35,1.33,,7/1/19,6/30/21
330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,PSI_04,Death rate among surgical inpatients with serious treatable complications,Worse Than the National Rate,223,187.28,158.69,215.87,,7/1/19,6/30/21
330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,PSI_06,Iatrogenic pneumothorax rate,No Different Than the National Rate,11750,0.21,0.08,0.33,,7/1/19,6/30/21
330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,PSI_08,In-hospital fall with hip fracture rate,No Different Than the National Rate,12816,0.03,0,0.13,,7/1/19,6/30/21
330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,PSI_09,Postoperative hemorrhage or hematoma rate,Worse Than the National Rate,4038,3.38,2.4,4.37,,7/1/19,6/30/21
